Country,venue_city,routing_fraction,years_observed
Turkey,Boston,0.04829838530470638,3
Turkey,Dallas,0.05326314322400409,3
Turkey,Houston,0.06837536657861704,3
Turkey,Los Angeles,0.10447530343777243,3
Turkey,Miami,0.08422901423962509,3
Turkey,New York,0.21031731941308734,3
Turkey,San Francisco,0.08300326462701638,3
Turkey,Seattle,0.053074646328111104,3
Turks and Caicos Islands,Atlanta,0.10191904605848137,3
Turks and Caicos Islands,Boston,0.0120202964273051,3
Turks and Caicos Islands,Dallas,0.07515703950267073,3
Turks and Caicos Islands,Houston,0.05780361116685194,3
Turks and Caicos Islands,Miami,0.22179915327422198,3
Turks and Caicos Islands,New York,0.15990001844491905,3
Turks and Caicos Islands,Philadelphia,0.052871661217420624,3
United Arab Emirates,Boston,0.07857665762070432,3
United Arab Emirates,Dallas,0.05287302810218436,3
United Arab Emirates,Houston,0.06979695573371482,3
United Arab Emirates,Los Angeles,0.06644207325645793,3
United Arab Emirates,Miami,0.04521210137047015,3
United Arab Emirates,New York,0.2881596929378801,3
United Arab Emirates,San Francisco,0.07401951004906036,3
United Arab Emirates,Seattle,0.05268732461811872,3
United Kingdom,Atlanta,0.04823224431413783,3
United Kingdom,Boston,0.06343831371247641,3
United Kingdom,Dallas,0.04493743242261175,3
United Kingdom,Houston,0.02847304902719392,3
United Kingdom,Los Angeles,0.07826735452255983,3
United Kingdom,Miami,0.04193962031529451,3
United Kingdom,New York,0.2355869555698859,3
United Kingdom,Philadelphia,0.025092318529077076,3
United Kingdom,San Francisco,0.055595096128725235,3
United Kingdom,Seattle,0.028601665039112885,3
Uzbekistan,New York,1,3
